"(-2, -2, -5, 2)",[-0.19 -0.1  -0.1  -0.1 ]
"(-3, -3, -6, 2)",[-0.1 -0.1 -0.1  0. ]
"(-4, -4, -6, 1)",[-0.19 -0.1   0.   -0.1 ]
"(-6, -4, -7, 1)",[-0.1 -0.1 -0.1  0. ]
"(-7, -4, -7, 1)",[-0.1   0.   -0.19  0.  ]
"(-7, -6, -7, 0)",[-0.1 -0.1 -0.1  0. ]
"(-6, -6, -7, 0)",[-0.1    -0.1099  0.      0.    ]
"(-6, -5, -7, 0)",[ 0.  -0.1  0.   0. ]
"(-5, -4, -6, 0)",[-0.1 -0.1  0.   0. ]
"(-5, -4, -5, 0)",[-0.1 -0.1  0.   0. ]
"(-4, -3, -4, 0)",[-0.1  0.   0.   0. ]
"(-5, -2, -5, 0)",[-0.1  0.   0.   0. ]
"(-5, -2, -6, 0)",[-0.1 -0.1  0.   0. ]
"(-4, -1, -5, 0)",[-0.1  0.  -0.1  0. ]
"(-3, -2, -5, -1)",[-0.1    -0.1    -0.1    -0.1099]
"(-2, -1, -4, -1)",[-0.19      -0.1999    -0.2008801 -0.1      ]
"(-1, -2, -3, -1)",[-0.1999     -0.1999     -0.19       -0.20988713]
"(1, -2, -2, -1)",[-0.1999 -0.19   -0.19   -0.1099]
"(3, -2, -1, -1)",[-0.1099  0.      0.     -0.1   ]
"(3, -2, -1, 0)",[-0.1067905  0.         0.         0.       ]
"(2, -3, -2, 0)",[-0.1 -0.1  0.   0. ]
"(0, -3, -3, 0)",[-0.1108801   0.22064915 -0.19        0.        ]
"(1, -4, -3, -1)",[ 0.  -0.1  0.  -0.1]
"(3, -4, -2, -1)",[-0.1 -0.1  0.   0. ]
"(0, -5, -3, -1)",[ 0.   0.  -0.1 -0.1]
"(1, -5, -3, -1)",[-0.1 -0.1  0.   0. ]
"(2, -4, -2, -1)",[ 0.   0.   0.  -0.1]
"(3, -3, -2, 0)",[ 0.    -0.271  0.     0.   ]
"(5, -3, -1, 0)",[-0.1  9.5  0.   0. ]
"(3, -3, -1, 0)",[-0.1  0.   0.   0. ]
"(4, -2, -1, 0)",[0.  9.5 0.  0. ]
"(5, -3, 0, 0)",[0.395 0.    0.    0.   ]
"(1, -5, -4, -9)",[ 0.  -0.1  0.   0. ]
"(3, -5, -3, -9)",[ 0.  -0.1 -0.1  0. ]
"(5, -5, -2, -9)",[-0.1  0.   0.   0. ]
"(3, -6, -3, -9)",[-0.1  0.   0.   0. ]
"(2, -7, -4, -9)",[ 0.   0.   0.  -0.1]
"(2, -7, -4, -8)",[ 0.  -0.1  0.   0. ]
"(3, -6, -3, -8)",[ 0.   0.  -0.1  0. ]
"(3, -8, -3, -9)",[-0.1 -0.1  0.   0. ]
"(2, -9, -4, -9)",[ 0.   0.   0.  -0.1]
"(2, -8, -4, -8)",[-0.1  0.   0.   0. ]
"(2, -8, -5, -8)",[-0.1  0.   0.   0. ]
"(1, -7, -6, -8)",[ 0.   0.  -0.1  0. ]
"(1, -9, -6, -9)",[-0.1 -0.1 -0.1  0. ]
"(1, -9, -7, -9)",[ 0.  -0.1  0.   0. ]
"(2, -9, -6, -9)",[ 0.   0.  -0.1  0. ]
"(2, -8, -5, -9)",[-0.1  0.   0.   0. ]
"(2, -8, -6, -9)",[ 0.   0.   0.  -0.1]
"(2, -6, -6, -8)",[-0.1  0.   0.   0. ]
"(1, -5, -7, -8)",[-0.1 -0.1  0.   0. ]
"(2, -4, -6, -8)",[ 0.   0.  -0.1  0. ]
"(2, -4, -6, -9)",[-0.1  0.   0.   0. ]
"(1, -3, -7, -9)",[-0.1  0.   0.   0. ]
"(0, -4, -8, -9)",[-0.1  0.   0.  -0.1]
"(-1, -3, -8, -8)",[-0.1  0.   0.  -0.1]
"(-1, -1, -8, -7)",[-0.1 -2.   0.   0. ]
"(-3, -1, -9, -7)",[-0.1  0.   0.   0. ]
"(-3, -2, -9, -7)",[-0.1 -0.1  0.  -0.1]
"(-2, -1, -9, -6)",[-0.1 -0.1 -0.1 -0.1]
"(-2, 0, -9, -6)",[ 0.   -2.09  0.    0.  ]
"(-1, -1, -8, -6)",[-0.1 -2.  -0.1 -0.1]
"(-1, -3, -8, -7)",[-0.271  0.     0.     0.   ]
"(-2, -2, -9, -7)",[-0.1 -0.1 -0.1 -0.1]
"(-3, -1, -9, -6)",[ 0.  -0.1  0.   0. ]
"(-2, -2, -8, -6)",[-0.1 -0.1 -0.1 -0.1]
"(-3, -3, -9, -6)",[-0.1 -0.1  0.   0. ]
"(-2, -4, -8, -7)",[ 0.  -0.1  0.   0. ]
"(-1, -3, -7, -7)",[-0.1  0.  -0.1  0. ]
"(-1, -3, -7, -8)",[-0.1 -0.1  0.   0. ]
"(-3, -3, -8, -8)",[-0.1 -0.1  0.   0. ]
"(-4, -2, -9, -8)",[-0.1 -0.1  0.   0. ]
"(-3, -2, -9, -8)",[ 0.  -0.1  0.   0. ]
"(-2, -1, -8, -8)",[-0.19 -0.1  -0.1  -0.1 ]
"(-2, -3, -8, -9)",[ 0.   -0.19  0.    0.  ]
"(-1, -4, -7, -9)",[-0.1 -0.1 -0.1  0. ]
"(-1, -4, -6, -9)",[ 0.  -0.1  0.   0. ]
