"(-4, -6, 191)",[-0.1  0.   0.  -0.1]
"(-4, -4, 211)",[ 0.   0.   0.  -0.1]
"(-3, -3, 231)",[-0.1 -0.1  0.   0. ]
"(-2, -4, 232)",[ 0.  -0.1  0.   0. ]
"(-2, -4, 233)",[ 0.    0.    0.   -0.19]
"(-2, -2, 253)",[ 0.   0.  -0.1  0. ]
"(13, 12, 253)",[-4.68449657 -2.42809051 -2.4283291  -2.39494353]
"(12, 13, 273)",[-2.06673655 -2.06348926 -2.04758432 -2.03166604]
"(11, 12, 272)",[-1.87490932 -1.90829024 -2.         -1.83567519]
"(-1, 19, 380)",[-20.86693439  -8.25885687  -8.23374823 -19.74422011]
"(-1, 18, 380)",[-20.16351966  -8.50843061  -8.51947101 -19.06225431]
"(-1, 16, 360)",[-14.13427954  -7.80827355  -7.85362714  -7.79108799]
"(0, 15, 361)",[-6.73652703 -6.54257682 -6.71062009 -6.8628866 ]
"(1, 19, 381)",[ -8.52604363  -8.43509504  -8.42733517 -22.05024174]
"(1, 19, 382)",[ -7.50565408  -7.40760986  -7.46051724 -18.27082711]
"(1, 18, 382)",[ -7.79565216  -7.69345462  -7.66903647 -18.22548984]
"(2, 17, 383)",[ -6.98454947  -6.96375555  -6.9119897  -11.15718763]
"(3, 16, 363)",[-6.8441382  -6.87074035 -6.81426128 -6.82563652]
"(4, 15, 364)",[-5.84979371 -5.75173512 -5.83380625 -5.80705286]
"(3, 16, 343)",[-7.05711024 -6.89697116 -6.8647671  -6.88397939]
"(2, 15, 323)",[-15.32300858  -6.09506029  -6.02822506  -6.14257625]
"(3, 14, 324)",[-5.69152415 -5.67101754 -5.624322   -5.66504988]
"(3, 16, 323)",[-12.68161484  -6.44671666  -6.45476581  -6.53779616]
"(0, 19, 380)",[-25.07398101  -9.08958899  -9.13065457 -25.32263998]
"(1, 17, 361)",[-7.97537045 -7.92452839 -7.99054486 -7.97970405]
"(1, 17, 341)",[ -7.96534546  -7.94809412 -20.14581972  -7.99222407]
"(2, 17, 342)",[ -7.59626551  -7.5471811  -16.18595994  -7.60640349]
"(1, 18, 362)",[-7.49153854 -7.32149303 -7.51566107 -7.57173765]
"(1, 18, 361)",[-8.47669701 -8.33114228 -8.35761675 -8.3976765 ]
"(1, 16, 341)",[ -7.98940075  -7.93621394 -15.65566623  -7.8984962 ]
"(3, 14, 323)",[-14.74965208  -5.77520549  -5.8521898   -5.80154421]
"(3, 12, 303)",[-6.70373074 -4.70925059 -4.63077661 -4.777757  ]
"(4, 15, 324)",[-6.05319869 -6.16034211 -6.02603961 -6.0272962 ]
"(3, 16, 344)",[-6.4294359  -6.41851481 -6.39268819 -6.42925727]
