"(-2, -5)",[-0.2907901  -0.2236259  -0.3654534   8.06879154]
"(-4, -5)",[-0.28981    -0.28981    -0.314758    0.10750674]
"(-5, -4)",[-0.1999    -0.1099    -0.1108801 -0.19     ]
"(-6, -3)",[-0.1999     -0.17461648 -0.271       0.75076698]
"(-7, -4)",[-0.1    -0.1099 -0.19   -0.19  ]
"(-6, -5)",[-0.1999     -0.21372903 -0.1999     -0.1       ]
"(-5, -6)",[-0.1999     -0.2008801  -0.30771019 -0.2097901 ]
"(-5, -5)",[-0.1999     -0.126829   -0.1197901   0.11333542]
"(-5, -3)",[-0.1999      3.36103101 -0.1999     -0.14818701]
"(-5, -1)",[ 2.13441729 -0.21663317 -0.19       -0.20881   ]
"(-5, 0)",[-0.29872    28.57885447 -0.1        -0.20650593]
"(-3, 0)",[ 0.12905357 40.80267252 -0.19        0.2629355 ]
"(-3, -1)",[-0.1999     30.51979155 -0.1        -0.31372411]
"(-3, -2)",[-0.29780361  9.79092734  1.00279089 -0.3439    ]
"(-2, -1)",[ 1.71548116  0.15019058 -0.24880096 38.04488183]
"(-1, -2)",[ 0.15321458 -0.27963087  1.56070869 37.52134842]
"(0, -1)",[25.67668036 33.78268591 30.41778938 44.34591596]
"(-1, 0)",[33.30848292 48.48924948 24.79560525 33.16500304]
"(0, 1)",[23.48742052 38.16445002 47.19702242 27.86217684]
"(2, -1)",[43.7417196   9.07054674  3.82600709  8.37008336]
"(1, -2)",[ 1.34660519  1.68252443  0.26248896 44.46441817]
"(1, -3)",[-0.30243229 -0.65472962  0.60074487 40.27292018]
"(2, -3)",[-0.47172759 -0.96349437 -0.84244872 32.04978026]
"(2, -4)",[-0.87929107 -0.93405762 -0.94026574  9.29518642]
"(-1, -3)",[ 2.91086533 -0.37714674 -0.28981    40.64257969]
"(0, -4)",[-0.42504102 -0.33156866 -0.44481325 26.67655476]
"(0, -2)",[10.16070772  0.81450151  0.9434496  56.10306235]
"(-1, -1)",[ 3.70494192 54.47506126 13.92425179  0.21585277]
"(-1, 1)",[ 4.58366864 55.989874   11.19664505  1.58303987]
"(-2, 0)",[-0.09568414  7.09865442 -0.271      24.91125596]
"(0, 2)",[ 0.37488295  9.66938993 55.71989821 -0.18798936]
"(-2, 2)",[ 2.16933641 36.42716875 -0.29528858 -0.61790486]
"(-3, 3)",[-0.30418241 12.24159215 -0.3229552  -0.1999    ]
"(-4, 2)",[-0.271      -0.30592819  5.65416516 -0.1       ]
"(-5, 1)",[-3.70729000e-01  1.25969543e+01  1.95574345e-04 -3.06739000e-01]
"(-7, 1)",[ 0.10448595 -0.1108801  -0.1        -0.1197901 ]
"(-7, 2)",[-0.370729    0.58903663 -0.40093914 -0.361819  ]
"(-8, 2)",[-0.2809 -0.19   -0.1999 -0.1   ]
"(-8, 4)",[-0.1999 -0.19   -0.1999 -0.1   ]
"(-6, 4)",[-0.29979713 -0.2192489  -0.3439     -0.306739  ]
"(-7, 3)",[-0.19       -0.21076922 -0.22736297 -0.21067219]
"(-7, 5)",[-0.1 -0.1 -0.1  0. ]
"(-7, 4)",[-0.20185922 -0.20097713 -0.1099     -0.1       ]
"(-8, 3)",[-0.19   -0.1    -0.1999 -0.1   ]
"(-7, 0)",[-0.28981     5.41776425 -0.26953847 -0.1999    ]
"(-7, -2)",[-0.2809     -0.3439     -0.2809      0.53542772]
"(-6, -1)",[-0.19        9.73182535 -0.1        -0.1099    ]
"(-4, -3)",[-0.1999      2.52547871 -0.271      -0.1574502 ]
"(-8, 1)",[-0.1999     -0.19       -0.13648845 -0.2178091 ]
"(-6, 0)",[-0.19       -0.271      -0.28981     1.44687637]
"(-6, -2)",[-0.28981     1.45853485 -0.28981    -0.2869772 ]
"(-5, -2)",[-0.19       -0.29136435 -0.19        7.56645779]
"(-4, -1)",[ 1.47629495e-02 -1.99900000e-01 -1.15232128e-01  2.73942707e+01]
"(-4, 1)",[-0.1099     -0.1        29.14476441 -0.1       ]
"(-2, 1)",[-0.08357335 39.49605511  0.97037192 -0.23438465]
"(0, 0)",[22.93805463  0.          0.          0.        ]
"(6, 1)",[25.19786626 -1.09432456 -1.12298694 -1.14428759]
"(7, 0)",[25.37714558 -1.45526507 -1.46457804 -1.33988402]
"(5, 0)",[44.83614099 -1.23342914 -0.46013945  3.12092561]
"(6, -1)",[10.03652748 -0.96198067 -1.1329298  -1.05259766]
"(5, -2)",[33.25088592 -0.92848223  1.67172691 -0.72974451]
"(5, -4)",[ 6.30392361 -1.42186825 -1.30162216 -1.33806232]
"(6, -3)",[ 3.07887324 -1.35281044 -1.28682006 -1.26658378]
"(6, -4)",[ 0.15051703 -1.39459102 -1.36526202 -1.38795301]
"(6, -5)",[-1.65434616 -1.66414327 -1.59898932 -1.66573246]
"(5, -5)",[-1.20850085 -1.31743553 -1.25045307  0.22957467]
"(4, -6)",[-1.33179538 -1.4146525  -1.40568657 -1.15533867]
"(3, -5)",[-0.97589614 -1.02960645 -1.01262278  1.65506131]
"(3, -7)",[-1.23796725 -1.24307075 -1.16390018 -1.17855521]
"(2, -6)",[-1.10097726 -1.08992243 -1.14166686 -1.07867043]
"(1, -5)",[-0.9972425  -0.99030045 -1.02879504  5.58357671]
"(-1, -5)",[-0.69795427 -0.58261797 -0.61045651  7.74548055]
"(-2, -4)",[-0.3439     -0.28687974 -0.30690829 12.26466951]
"(-2, -2)",[-0.271      39.58008255 -0.1        -0.1       ]
"(-4, 0)",[-0.20855655 -0.11881     7.62466036 -0.19      ]
"(-3, 1)",[-0.19      39.2018281 -0.1099    -0.20881  ]
"(0, 4)",[ 0.88204971  1.52445581 36.96252603 -0.59940304]
"(1, 3)",[ 0.15874316  0.3301165  44.79476539 -0.56365025]
"(2, 2)",[-0.14981015 -0.20881    48.7067853  -0.30120818]
"(2, 0)",[60.36163564 18.412916   27.48858259 34.27305833]
"(3, -1)",[ 0.3613585   4.23283665  0.16020406 49.47288323]
"(4, 0)",[50.99393154 -0.81952924  5.08720042 -0.54666871]
"(3, 1)",[52.51188543  2.17272129  0.96414048  0.1500012 ]
"(5, 1)",[33.23792324 -0.9559384  -0.71702427 -0.69320287]
"(6, 0)",[36.12062095 -1.03547771 -1.01162655 -1.00260661]
"(5, -1)",[32.9522171  -0.68860343 -0.60479701  6.30900951]
"(4, 2)",[26.90213478 -0.73478213  4.3232884  -0.70356756]
"(3, 3)",[-0.66244543 -0.6909684  19.91170501 -0.67565163]
"(0, 3)",[-0.63703683 -0.6579672  46.21552039 -0.38418507]
"(-1, 5)",[ 1.15133759 -0.55647506 15.9004618  -0.53469766]
"(-1, 6)",[-1.133851   -1.08694608  6.77377209 -1.04395804]
