"(2, 5, -5, 3)",[ 0.  -0.1  0.   0. ]
"(4, 5, -4, 3)",[ 0.  -0.1  0.   0. ]
"(5, 4, -3, 3)",[ 0.  -0.1  0.   0. ]
"(6, 3, -2, 3)",[ 0.  -0.1  0.   0. ]
"(7, 4, -1, 3)",[-0.1  0.   0.   0. ]
"(6, 5, -2, 3)",[-0.1 -0.1  0.   0. ]
"(5, 6, -3, 3)",[ 0.   0.  -0.1  0. ]
"(5, 5, -3, 2)",[ 0.   0.  -0.1  0. ]
"(5, 3, -3, 1)",[ 0.   0.  -0.1  0. ]
"(5, 3, -3, 0)",[ 0.  -0.1  0.   0. ]
"(6, 3, -2, 0)",[ 0.   0.  -0.1  0. ]
"(6, 3, -2, -1)",[-0.1  0.   0.   0. ]
"(5, 3, -3, -1)",[ 0.   0.  -0.1  0. ]
"(5, 1, -3, -2)",[ 0.   0.  -0.1  0. ]
"(5, 0, -3, -3)",[-0.1  0.   0.   0. ]
"(3, 0, -4, -3)",[-0.1  0.   0.   0. ]
"(3, 0, -5, -3)",[ 0.   0.   0.  -0.1]
"(3, 1, -5, -2)",[ 0.   0.   0.  -0.1]
"(3, 2, -5, -1)",[ 0.   0.   0.  -0.1]
"(3, 2, -5, 0)",[-0.1  0.   0.   0. ]
"(2, 1, -6, 0)",[-0.1  0.   0.  -0.1]
"(1, 2, -6, 1)",[ 0.  -0.1  0.   0. ]
"(1, 2, -5, 1)",[ 0.   0.  -0.1  0. ]
"(0, 1, -5, 0)",[-0.29872    -0.27419853 -0.29960209 -0.31036537]
"(1, 0, -4, 0)",[-0.20881     2.45005813 -0.20881    -0.2097901 ]
"(0, -1, -4, -1)",[-2.         -0.37162    -0.30146428 -0.1436271 ]
"(0, -1, -3, -1)",[-0.19   -0.1999 -0.1    -0.1   ]
"(0, 1, -3, 0)",[-0.2008801  28.39563871 -0.1099     -0.1       ]
"(-2, 1, -4, 0)",[-0.1 -0.1  0.   0. ]
"(-1, 2, -3, 0)",[-0.1   0.   -0.19  0.  ]
"(-1, 2, -3, -1)",[-0.1 -0.1  0.   0. ]
"(-1, 2, -2, -1)",[ 0.   0.  -0.1  0. ]
"(-1, 2, -2, -2)",[-0.1  0.  -0.1 -0.1]
"(-1, 3, -2, -1)",[-0.1  0.   0.   0. ]
"(-2, 3, -3, -1)",[ 0.   0.   0.  -0.1]
"(-2, 4, -3, 0)",[-0.1 -0.1 -0.1  0. ]
"(-1, 3, -3, -1)",[ 0.  -0.1  0.   0. ]
"(1, 3, -2, -1)",[-0.1  0.   0.  -0.1]
"(1, 3, -2, 0)",[-0.1  0.   0.  -0.1]
"(0, 4, -2, 1)",[ 0.   0.  -0.1  0. ]
"(-1, 3, -2, 0)",[-0.1    0.395 -0.1   -0.1  ]
"(0, 2, -2, -1)",[-0.19 -0.1   0.    0.  ]
"(0, 2, -3, -1)",[-0.1 -0.1 -0.1 -0.1]
"(0, 2, -3, -2)",[ 0.  -0.1  0.   0. ]
"(1, 1, -2, -2)",[-0.1  0.  -0.1  0. ]
"(1, -1, -2, -3)",[ 0.  -0.1 -0.1  0. ]
"(2, 0, -1, -3)",[ 0.  -0.1  0.   0. ]
"(2, 0, 0, -3)",[ 0.   0.  -0.1  0. ]
"(2, 0, 0, -4)",[-0.1  0.  -0.1  0. ]
"(1, -1, -1, -4)",[-0.1  0.   0.   0. ]
"(1, -1, -2, -4)",[-0.1  0.   0.  -0.1]
"(0, -2, -3, -4)",[-0.1 -0.1 -0.1  0. ]
"(2, -2, -2, -4)",[ 0.   0.   0.  -0.1]
"(2, -2, -2, -3)",[ 0.   0.   0.  -0.1]
"(2, -2, -2, -2)",[ 0.  -0.1  0.   0. ]
"(3, -3, -1, -2)",[-0.1  0.   0.   0. ]
"(3, -3, -2, -2)",[ 0.   0.   0.  -0.1]
"(4, -2, -2, -1)",[ 0.   0.   0.  -0.1]
"(5, -1, -2, 0)",[-0.1 -0.1  0.   0. ]
"(7, -1, -1, 0)",[ 0.   0.  -0.1  0. ]
"(7, -2, -1, -1)",[ 0.  -0.1  0.   0. ]
"(8, -2, 0, -1)",[ 0.   0.  -0.1  0. ]
"(8, -4, 0, -2)",[-0.1  0.   0.   0. ]
"(6, -4, -1, -2)",[ 0.   0.  -0.1  0. ]
"(6, -4, -1, -3)",[ 0.  -0.1  0.   0. ]
"(7, -3, 0, -3)",[ 0.   0.  -0.1  0. ]
"(8, -4, 0, -4)",[-0.1  0.   0.  -0.1]
"(7, -5, -1, -4)",[ 0.  -0.1  0.  -0.1]
"(7, -4, -1, -3)",[ 0.   0.  -0.1  0. ]
"(8, -3, 0, -3)",[ 0.   0.   0.  -0.1]
"(7, -2, 0, -2)",[ 0.   0.   0.  -0.1]
"(7, 0, 0, -1)",[ 0.   0.  -0.1  0. ]
"(7, 0, 0, -2)",[ 0.   0.   0.  -0.1]
"(7, 2, 0, -1)",[ 0.   0.  -0.1  0. ]
"(6, 1, 0, -2)",[ 0.  -0.1  0.   0. ]
"(7, 2, 1, -2)",[ 0.   0.   0.  -0.1]
"(6, 3, 1, -1)",[-0.1  0.   0.   0. ]
"(4, 3, 0, -1)",[0. 0. 0. 5.]
"(4, 3, 0, 0)",[0. 0. 0. 0.]
"(7, 4, 7, -2)",[ 0.   0.  -0.1  0. ]
"(7, 2, 7, -3)",[ 0.   0.  -0.1  0. ]
"(6, 1, 7, -4)",[ 0.   0.  -0.1  0. ]
"(7, 0, 7, -5)",[ 0.   0.  -0.1  0. ]
"(8, -1, 7, -6)",[ 0.   0.  -0.1  0. ]
"(7, -1, 7, -6)",[-0.1  0.   0.   0. ]
"(6, 0, 6, -6)",[ 0.   0.  -0.1  0. ]
"(5, 0, 6, -6)",[ 0.   0.   0.  -0.1]
"(6, 1, 6, -5)",[ 0.   0.   0.  -0.1]
"(7, 2, 6, -4)",[-0.1  0.   0.   0. ]
"(6, 2, 5, -4)",[-0.19  0.    0.    0.  ]
"(5, 2, 4, -4)",[ 0.  -0.1  0.   0. ]
"(5, 1, 4, -4)",[-0.1  0.   0.   0. ]
"(4, 1, 3, -4)",[-0.1  0.  -0.1  0. ]
"(3, 0, 3, -5)",[ 0.   0.  -0.1  0. ]
"(4, -1, 3, -6)",[-0.1  0.   0.   0. ]
"(2, -1, 2, -6)",[ 0.   0.  -0.1  0. ]
"(2, 0, 2, -6)",[-0.1  0.   0.   0. ]
"(2, 0, 1, -6)",[ 0.   0.  -0.1  0. ]
"(1, 0, 1, -6)",[-0.3139561 -0.379639  -1.9       -0.3636901]
"(0, 0, 1, -6)",[0. 0. 0. 0.]
"(-6, -1, -7, 6)",[-0.1 -0.1  0.  -0.1]
"(-7, 0, -8, 6)",[ 0.  -0.1  0.  -0.1]
"(-5, 0, -7, 6)",[-0.1  0.   0.   0. ]
"(-6, 1, -8, 7)",[ 0.   0.   0.  -0.1]
"(-5, 2, -8, 8)",[ 0.   0.   0.  -0.1]
"(-5, 4, -8, 9)",[ 0.   0.  -0.1  0. ]
"(-6, 3, -8, 8)",[-0.1  0.   0.   0. ]
